sinav_turu;alt_sinav;ders;konu;soru_metni;a_sikki;b_sikki;c_sikki;d_sikki;e_sikki;dogru_cevap;zorluk_seviyesi
YKS;TYT;Tarih;Tarih Bilimine Giriş;Tarih öncesi devirlerin sınıflandırılmasında aşağıdakilerden hangisi temel alınmıştır?;Kullanılan araç ve gereçler;İklim şartları;Dini inanışlar;Siyasi yapılar;Ekonomik faaliyetler;A;Kolay
YKS;TYT;Tarih;İlk Çağ Medeniyetleri;Aşağıdakilerden hangisi Mezopotamya uygarlıklarından biri değildir?;Sümerler;Akadlar;Elamlar;Asurlar;Hititler;E;Orta
YKS;TYT;Tarih;İslam Tarihi;Müslümanların Mekkeli müşriklerle yaptığı ilk savaş aşağıdakilerden hangisidir?;Uhud;Hendek;Bedir;Mute;Tebük;C;Kolay
YKS;TYT;Tarih;Osmanlı Devleti Kuruluş Dönemi;Aşağıdakilerden hangisi Osmanlı Devleti'nin kısa sürede büyümesinin nedenlerinden biri değildir?;Coğrafi konumu;İskan politikası;Güçlü donanması;Hoşgörü politikası;Zayıf Bizans'ın durumu;C;Orta
YKS;TYT;Tarih;Milli Mücadele;Mustafa Kemal'in "Hattı müdafaa yoktur, sathı müdafaa vardır." sözünü söylediği savaş hangisidir?;I. İnönü;II. İnönü;Eskişehir-Kütahya;Sakarya Meydan Muharebesi;Büyük Taarruz;D;Zor
YKS;TYT;Türkçe;Sözcükte Anlam;Aşağıdaki cümlelerin hangisinde "sıcak" sözcüğü mecaz anlamda kullanılmıştır?;Çorbayı çok sıcak içti.;Bizi çok sıcak karşıladılar.;Hava bugün oldukça sıcak.;Sıcak suyu eline döktü.;Yazın sıcak günlerini özledim.;B;Kolay
YKS;TYT;Türkçe;Yazım Kuralları;Aşağıdakilerden hangisinde "ki"nin yazımı ile ilgili bir yanlışlık yapılmıştır?;Anladım ki bu iş böyle olmayacak.;Seninki yine ortalıkta yok.;Evdeki hesap çarşıya uymadı.;Akşam ki maça gelecek misin?;O kadar çok çalıştı ki başardı.;D;Orta
YKS;TYT;Türkçe;Noktalama İşaretleri;Aşağıdakilerden hangisinin sonuna soru işareti konulmaz?;Ne zaman döneceğini söyledi mi;Bunu neden yaptığını bilmiyorum;Saat kaçta buluşacağız;Bu elbiseyi nereden aldın;Kim geldi az önce;B;Orta
YKS;TYT;Türkçe;Cümlede Anlam;Aşağıdaki cümlelerin hangisinde neden-sonuç ilişkisi yoktur?;Yağmur yağdığı için maç iptal oldu.;Çok çalıştığından sınavı kazandı.;Seni görmek için buralara geldim.;Hastalandığından okula gidemedi.;Kardan dolayı yollar kapandı.;C;Zor
YKS;TYT;Türkçe;Paragrafta Anlam;Bir yazarın eserlerinde kendi hayatından izler bulunması olağandır. Bu cümleye en yakın anlamlı cümle hangisidir?;Yazarlar genellikle kurgusal dünyalar yaratır.;Eser ile yazarın yaşamı arasında bağ kurulamaz.;Sanatçı, yaşadıklarını yapıtlarına yansıtabilir.;Her eser sadece yazarın hayal gücünün ürünüdür.;Yazar sadece toplumsal olayları anlatmalıdır.;C;Orta
YKS;TYT;Matematik;Temel Kavramlar;İki ardışık tek sayının toplamı 40 ise büyük sayı kaçtır?;17;19;21;23;25;C;Kolay
YKS;TYT;Matematik;Rasyonel Sayılar;(1/2) + (1/3) işleminin sonucu kaçtır?;2/5;5/6;1/6;1/5;5/2;B;Kolay
YKS;TYT;Matematik;Üslü Sayılar;2^3 + 3^2 işleminin sonucu kaçtır?;12;15;17;19;21;C;Orta
YKS;TYT;Matematik;Köklü Sayılar;Kök 16 ile Kök 9'un toplamı kaçtır?;5;6;7;8;9;C;Kolay
YKS;TYT;Matematik;Çarpanlara Ayırma;x^2 - y^2 ifadesinin eşiti aşağıdakilerden hangisidir?;(x-y)^2;(x+y)^2;(x-y)(x+y);x^2 - 2xy + y^2;x^2 + 2xy + y^2;C;Orta